phi.hat,X,mBIC,t.BIC,dBIC,X.1,mMBIC,t.MBIC,dMBIC,X.2,mMDL,t.MDL,dMDL,X.3,mBS,t.BS,dBS,X.4,mWBS,t.WBS,dWBS
0.010039421,BIC,3,"130, 252, 376",0.01,MBIC,3,"130, 255, 376",0.016,MDL,3,"130, 253, 379",0.018,BS,3,"374, 128, 253",0.012,WBS,3,"374, 251, 128",0.008
-0.035641728,BIC,3,"127, 245, 377",0.016,MBIC,3,"127, 245, 377",0.016,MDL,3,"129, 245, 377",0.02,BS,3,"125, 200, 375",0.106,WBS,3,"125, 243, 375",0.02
-0.069933245,BIC,3,"128, 237, 376",0.032,MBIC,3,"130, 237, 376",0.036,MDL,5,"13, 14, 129, 253, 371",2.02,BS,3,"127, 400, 225",0.102,WBS,3,"127, 251, 369",0.016
0.012007165,BIC,3,"126, 249, 379",0.01,MBIC,3,"126, 249, 379",0.01,MDL,5,"6, 7, 126, 252, 378",2.006,BS,3,"377, 247, 119",0.024,WBS,3,"377, 124, 247",0.014
0.012094223,BIC,3,"125, 253, 377",0.008,MBIC,3,"127, 253, 377",0.008,MDL,3,"125, 253, 377",0.008,BS,3,"123, 251, 375",0.008,WBS,3,"251, 375, 123",0.008
-0.05780111,BIC,3,"126, 254, 377",0.008,MBIC,3,"126, 253, 377",0.006,MDL,3,"126, 253, 377",0.006,BS,3,"124, 390, 252",0.034,WBS,3,"252, 375, 124",0.008
0.118068607,BIC,4,"123, 248, 378, 446",1.016,MBIC,3,"122, 247, 378",0.02,MDL,3,"123, 247, 378",0.018,BS,1,376,2,WBS,3,"376, 121, 245",0.022
0.014059973,BIC,3,"126, 252, 373",0.008,MBIC,3,"126, 253, 373",0.01,MDL,3,"126, 253, 373",0.01,BS,0,NA,3,WBS,3,"251, 124, 371",0.014
0.062009608,BIC,3,"129, 247, 377",0.016,MBIC,3,"129, 247, 376",0.014,MDL,3,"129, 247, 375",0.016,BS,3,"374, 127, 252",0.008,WBS,3,"374, 245, 127",0.018
-0.041309511,BIC,3,"129, 250, 372",0.016,MBIC,3,"126, 252, 372",0.01,MDL,3,"126, 252, 372",0.01,BS,3,"124, 370, 257",0.028,WBS,3,"250, 370, 124",0.018
0.16269124,BIC,3,"125, 253, 376",0.006,MBIC,3,"126, 251, 375",0.002,MDL,3,"126, 253, 376",0.004,BS,3,"124, 374, 251",0.008,WBS,3,"374, 251, 124",0.008
0.041709309,BIC,3,"125, 249, 357",0.044,MBIC,3,"127, 248, 357",0.046,MDL,3,"127, 262, 358",0.06,BS,1,125,2.002,WBS,3,"125, 249, 355",0.048
0.046589104,BIC,3,"121, 248, 376",0.016,MBIC,3,"122, 247, 376",0.016,MDL,5,"74, 78, 121, 247, 376",2.018,BS,1,120,2.012,WBS,3,"120, 245, 374",0.028
-0.030858151,BIC,3,"122, 259, 374",0.028,MBIC,3,"122, 257, 376",0.02,MDL,7,"2, 3, 5, 6, 122, 257, 375",4.022,BS,3,"376, 120, 257",0.024,WBS,3,"373, 255, 120",0.026
-0.023096312,BIC,3,"126, 251, 376",0,MBIC,3,"126, 251, 376",0,MDL,3,"126, 251, 376",0,BS,3,"375, 124, 251",0.006,WBS,3,"375, 249, 124",0.01
0.084102387,BIC,3,"140, 251, 377",0.03,MBIC,3,"128, 251, 378",0.008,MDL,3,"140, 251, 376",0.028,BS,3,"249, 125, 376",0.006,WBS,3,"376, 138, 249",0.028
0.092284842,BIC,3,"127, 252, 378",0.008,MBIC,3,"122, 250, 374",0.014,MDL,3,"122, 251, 377",0.01,BS,3,"375, 120, 250",0.016,WBS,3,"375, 250, 120",0.016
-0.029718616,BIC,3,"127, 253, 376",0.006,MBIC,3,"126, 253, 376",0.004,MDL,3,"126, 253, 377",0.006,BS,3,"124, 251, 374",0.008,WBS,3,"124, 374, 251",0.008
-0.042610597,BIC,3,"125, 244, 370",0.028,MBIC,3,"125, 244, 370",0.028,MDL,3,"125, 244, 370",0.028,BS,3,"242, 368, 123",0.04,WBS,3,"368, 123, 242",0.04
-0.137643314,BIC,3,"128, 251, 383",0.018,MBIC,3,"128, 251, 383",0.018,MDL,3,"129, 250, 383",0.022,BS,3,"381, 126, 264",0.036,WBS,3,"381, 249, 126",0.014
-0.039801204,BIC,3,"127, 252, 374",0.008,MBIC,3,"127, 252, 374",0.008,MDL,3,"127, 252, 374",0.008,BS,3,"125, 372, 250",0.012,WBS,3,"250, 372, 125",0.012
0.055133168,BIC,3,"122, 243, 377",0.026,MBIC,3,"122, 243, 376",0.024,MDL,3,"122, 243, 375",0.026,BS,3,"375, 120, 246",0.024,WBS,3,"373, 241, 120",0.038
0.085115743,BIC,3,"126, 251, 376",0,MBIC,3,"126, 251, 376",0,MDL,3,"129, 251, 376",0.006,BS,1,124,2.004,WBS,3,"124, 249, 374",0.012
-0.088738094,BIC,3,"128, 255, 375",0.014,MBIC,3,"127, 255, 375",0.012,MDL,3,"128, 254, 375",0.012,BS,3,"126, 374, 242",0.022,WBS,3,"126, 253, 374",0.008
0.097922456,BIC,3,"126, 255, 377",0.01,MBIC,3,"126, 255, 377",0.01,MDL,3,"124, 255, 377",0.014,BS,3,"375, 124, 253",0.01,WBS,4,"375, 253, 124, 380",1.01
-0.113734771,BIC,3,"128, 245, 376",0.016,MBIC,3,"128, 245, 376",0.016,MDL,3,"128, 245, 376",0.016,BS,3,"243, 396, 126",0.056,WBS,3,"374, 249, 126",0.008
0.075507146,BIC,3,"133, 250, 379",0.022,MBIC,3,"133, 251, 379",0.02,MDL,3,"133, 251, 377",0.016,BS,3,"249, 377, 131",0.016,WBS,3,"131, 377, 249",0.016
0.09563835,BIC,4,"124, 235, 243, 375",1.022,MBIC,3,"125, 245, 376",0.014,MDL,3,"124, 247, 375",0.014,BS,3,"122, 373, 245",0.026,WBS,3,"373, 245, 122",0.026
0.101016738,BIC,3,"121, 251, 376",0.01,MBIC,3,"121, 251, 376",0.01,MDL,3,"122, 251, 354",0.052,BS,1,374,2.004,WBS,3,"352, 119, 249",0.066
0.076271999,BIC,3,"126, 253, 383",0.018,MBIC,3,"126, 253, 383",0.018,MDL,3,"126, 253, 383",0.018,BS,3,"381, 124, 251",0.014,WBS,3,"251, 124, 381",0.014
-0.047975746,BIC,3,"126, 243, 380",0.024,MBIC,3,"127, 242, 380",0.028,MDL,3,"126, 242, 381",0.028,BS,3,"124, 378, 234",0.042,WBS,3,"124, 240, 378",0.03
0.0950275,BIC,3,"126, 251, 375",0.002,MBIC,3,"127, 251, 375",0.004,MDL,3,"126, 251, 375",0.002,BS,0,NA,3,WBS,3,"249, 373, 124",0.014
0.048454921,BIC,3,"123, 254, 374",0.016,MBIC,3,"123, 254, 375",0.014,MDL,3,"123, 251, 375",0.008,BS,3,"121, 373, 252",0.018,WBS,3,"373, 252, 121",0.018
0.097082157,BIC,3,"126, 256, 382",0.022,MBIC,3,"127, 251, 382",0.014,MDL,3,"127, 251, 382",0.014,BS,1,63,2.126,WBS,3,"249, 124, 380",0.016
0.062312539,BIC,3,"126, 251, 382",0.012,MBIC,3,"126, 250, 382",0.014,MDL,3,"126, 251, 382",0.012,BS,3,"124, 380, 249",0.016,WBS,3,"249, 380, 124",0.016
0.065311994,BIC,3,"127, 250, 369",0.018,MBIC,3,"127, 252, 370",0.016,MDL,3,"127, 251, 370",0.014,BS,3,"368, 248, 125",0.024,WBS,3,"249, 368, 125",0.022
0.065537097,BIC,3,"126, 252, 377",0.004,MBIC,3,"125, 252, 376",0.004,MDL,3,"126, 252, 377",0.004,BS,3,"375, 123, 235",0.04,WBS,3,"250, 375, 123",0.01
0.041863271,BIC,3,"126, 243, 372",0.024,MBIC,3,"125, 243, 372",0.026,MDL,3,"127, 243, 372",0.026,BS,4,"370, 124, 241, 306",1.036,WBS,3,"370, 241, 124",0.036
-0.047159222,BIC,3,"136, 232, 364",0.082,MBIC,3,"136, 232, 364",0.082,MDL,3,"136, 232, 364",0.082,BS,3,"230, 120, 362",0.082,WBS,3,"230, 134, 362",0.086
-0.069469715,BIC,3,"127, 251, 369",0.016,MBIC,3,"126, 250, 369",0.016,MDL,5,"14, 15, 127, 249, 370",2.018,BS,3,"397, 248, 125",0.05,WBS,3,"367, 125, 248",0.026
-0.027192329,BIC,4,"122, 252, 377, 496",1.012,MBIC,3,"122, 253, 377",0.014,MDL,3,"122, 252, 378",0.014,BS,3,"120, 250, 375",0.016,WBS,3,"120, 375, 250",0.016
0.128092041,BIC,3,"118, 237, 378",0.048,MBIC,3,"118, 237, 378",0.048,MDL,3,"118, 237, 378",0.048,BS,1,379,2.006,WBS,3,"376, 116, 235",0.052
0.017736679,BIC,3,"123, 246, 375",0.018,MBIC,3,"123, 246, 375",0.018,MDL,3,"123, 246, 375",0.018,BS,3,"121, 373, 244",0.03,WBS,3,"121, 244, 373",0.03
0.013013104,BIC,3,"120, 256, 371",0.032,MBIC,3,"120, 252, 371",0.024,MDL,3,"120, 256, 358",0.058,BS,3,"369, 254, 118",0.036,WBS,3,"369, 254, 118",0.036
-0.1126002,BIC,4,"125, 248, 377, 494",1.01,MBIC,3,"123, 249, 378",0.014,MDL,3,"125, 249, 378",0.01,BS,3,"123, 249, 376",0.01,WBS,4,"247, 376, 123, 492",1.014
-0.08902528,BIC,3,"126, 251, 382",0.012,MBIC,3,"122, 251, 382",0.02,MDL,3,"122, 251, 382",0.02,BS,3,"382, 120, 253",0.028,WBS,3,"380, 249, 120",0.024
0.042294471,BIC,4,"127, 251, 376, 378",1.002,MBIC,4,"127, 251, 376, 378",1.002,MDL,4,"126, 251, 376, 378",1,BS,1,124,2.004,WBS,3,"125, 373, 249",0.012
0.049494624,BIC,3,"124, 253, 376",0.008,MBIC,3,"123, 253, 375",0.012,MDL,3,"124, 253, 376",0.008,BS,1,122,2.008,WBS,3,"251, 122, 374",0.012
-0.018114063,BIC,3,"126, 252, 378",0.006,MBIC,3,"125, 252, 381",0.014,MDL,5,"3, 4, 126, 252, 376",2.002,BS,3,"123, 376, 204",0.1,WBS,3,"123, 250, 374",0.012
0.063345189,BIC,3,"124, 265, 372",0.04,MBIC,3,"124, 265, 372",0.04,MDL,3,"124, 265, 372",0.04,BS,1,122,2.008,WBS,3,"370, 263, 122",0.044
0.106547072,BIC,3,"123, 241, 385",0.044,MBIC,3,"123, 241, 385",0.044,MDL,3,"123, 241, 385",0.044,BS,1,386,2.02,WBS,3,"239, 121, 383",0.048
-0.030129715,BIC,3,"124, 252, 376",0.006,MBIC,5,"123, 219, 222, 254, 375",2.014,MDL,5,"125, 219, 222, 254, 375",2.01,BS,1,117,2.018,WBS,3,"122, 250, 373",0.016
0.009253684,BIC,3,"170, 252, 393",0.124,MBIC,3,"170, 249, 393",0.126,MDL,3,"170, 248, 393",0.128,BS,1,391,2.03,WBS,3,"391, 246, 168",0.124
-0.047060533,BIC,3,"125, 255, 355",0.052,MBIC,3,"125, 254, 355",0.05,MDL,3,"122, 254, 355",0.056,BS,3,"353, 252, 123",0.054,WBS,3,"252, 123, 353",0.054
0.038638346,BIC,3,"131, 247, 375",0.02,MBIC,3,"131, 247, 376",0.018,MDL,3,"137, 247, 376",0.03,BS,3,"129, 374, 268",0.044,WBS,3,"374, 255, 129",0.018
0.017710244,BIC,3,"125, 254, 375",0.01,MBIC,3,"125, 254, 375",0.01,MDL,3,"122, 254, 376",0.014,BS,1,384,2.016,WBS,3,"373, 252, 123",0.014
-0.051739926,BIC,3,"126, 245, 376",0.012,MBIC,3,"125, 245, 376",0.014,MDL,3,"127, 245, 377",0.016,BS,3,"125, 374, 252",0.008,WBS,3,"374, 243, 125",0.022
-0.072272151,BIC,3,"128, 251, 376",0.004,MBIC,3,"128, 251, 376",0.004,MDL,3,"128, 251, 376",0.004,BS,1,374,2.004,WBS,3,"374, 126, 250",0.006
0.070601508,BIC,3,"126, 253, 378",0.008,MBIC,3,"126, 251, 380",0.008,MDL,3,"126, 253, 377",0.006,BS,3,"124, 375, 251",0.006,WBS,3,"251, 375, 124",0.006
0.063674918,BIC,4,"127, 130, 251, 376",1.002,MBIC,3,"125, 251, 376",0.002,MDL,3,"125, 251, 375",0.004,BS,3,"123, 249, 384",0.026,WBS,3,"123, 374, 249",0.014
-0.047481639,BIC,3,"127, 250, 374",0.008,MBIC,3,"127, 250, 374",0.008,MDL,3,"128, 250, 374",0.01,BS,3,"372, 124, 248",0.018,WBS,3,"125, 248, 372",0.016
0.040868135,BIC,3,"125, 257, 380",0.022,MBIC,3,"126, 257, 379",0.018,MDL,3,"126, 257, 379",0.018,BS,1,378,2.004,WBS,3,"378, 255, 124",0.016
-0.096464924,BIC,3,"130, 249, 373",0.018,MBIC,3,"130, 249, 373",0.018,MDL,3,"130, 249, 373",0.018,BS,3,"371, 128, 247",0.022,WBS,3,"128, 247, 371",0.022
-0.051746304,BIC,4,"130, 239, 403, 435",1.086,MBIC,3,"126, 251, 376",0,MDL,3,"127, 251, 376",0.002,BS,3,"124, 249, 401",0.058,WBS,3,"124, 401, 249",0.058
-0.016923387,BIC,3,"116, 251, 376",0.02,MBIC,3,"116, 252, 377",0.024,MDL,3,"116, 251, 377",0.022,BS,3,"114, 249, 402",0.08,WBS,3,"114, 375, 249",0.03
-0.001991455,BIC,3,"132, 230, 379",0.06,MBIC,3,"131, 230, 379",0.058,MDL,7,"5, 6, 9, 10, 130, 230, 382",4.062,BS,1,377,2.002,WBS,3,"377, 129, 228",0.054
0.067751694,BIC,3,"129, 251, 376",0.006,MBIC,3,"128, 251, 376",0.004,MDL,3,"128, 251, 377",0.006,BS,1,374,2.004,WBS,3,"374, 126, 249",0.008
0.130383992,BIC,4,"130, 144, 257, 375",1.022,MBIC,3,"130, 255, 363",0.042,MDL,6,"17, 20, 131, 145, 252, 375",3.014,BS,3,"373, 119, 248",0.026,WBS,3,"250, 128, 373",0.012
-0.020947088,BIC,3,"129, 255, 379",0.02,MBIC,3,"129, 254, 379",0.018,MDL,3,"129, 254, 379",0.018,BS,3,"377, 252, 116",0.024,WBS,3,"377, 252, 127",0.006
-0.027805263,BIC,3,"126, 246, 377",0.012,MBIC,3,"126, 246, 377",0.012,MDL,3,"126, 233, 377",0.038,BS,3,"375, 244, 97",0.074,WBS,3,"124, 375, 244",0.02
-0.107031233,BIC,4,"124, 126, 252, 378",1.006,MBIC,4,"124, 126, 252, 378",1.006,MDL,7,"15, 19, 61, 124, 126, 252, 377",4.004,BS,3,"124, 250, 376",0.006,WBS,3,"124, 250, 376",0.006
-0.027488973,BIC,3,"141, 255, 376",0.038,MBIC,3,"141, 253, 376",0.034,MDL,3,"141, 252, 376",0.032,BS,3,"374, 124, 250",0.01,WBS,3,"250, 139, 374",0.032
-0.032733631,BIC,3,"135, 225, 379",0.076,MBIC,3,"135, 225, 379",0.076,MDL,3,"135, 225, 377",0.072,BS,3,"377, 122, 247",0.018,WBS,3,"377, 247, 122",0.018
-0.004949103,BIC,3,"142, 251, 381",0.042,MBIC,3,"142, 251, 381",0.042,MDL,3,"142, 247, 381",0.05,BS,1,379,2.006,WBS,3,"379, 249, 140",0.038
0.143795738,BIC,3,"123, 252, 377",0.01,MBIC,3,"124, 251, 376",0.004,MDL,4,"121, 122, 252, 377",1.012,BS,1,122,2.008,WBS,3,"122, 250, 374",0.014
0.022075417,BIC,3,"125, 246, 376",0.012,MBIC,3,"127, 246, 375",0.014,MDL,3,"125, 246, 376",0.012,BS,3,"244, 123, 374",0.024,WBS,3,"123, 374, 244",0.024
0.012094798,BIC,3,"127, 252, 371",0.014,MBIC,3,"127, 252, 371",0.014,MDL,3,"127, 252, 371",0.014,BS,3,"379, 125, 274",0.054,WBS,3,"369, 250, 125",0.018
0.056737417,BIC,3,"127, 253, 392",0.038,MBIC,3,"127, 251, 392",0.034,MDL,3,"127, 251, 392",0.034,BS,1,125,2.002,WBS,3,"125, 249, 390",0.034
-0.039564731,BIC,3,"121, 252, 381",0.022,MBIC,3,"123, 252, 381",0.018,MDL,3,"121, 252, 381",0.022,BS,3,"119, 379, 250",0.022,WBS,3,"122, 250, 379",0.016
-0.019122929,BIC,3,"132, 251, 376",0.012,MBIC,3,"132, 252, 390",0.042,MDL,3,"132, 252, 390",0.042,BS,1,388,2.024,WBS,3,"388, 250, 130",0.034
0.070569197,BIC,3,"127, 252, 376",0.004,MBIC,3,"127, 252, 376",0.004,MDL,5,"42, 43, 120, 253, 377",2.018,BS,3,"375, 118, 250",0.02,WBS,3,"375, 250, 118",0.02
-0.031237008,BIC,3,"126, 249, 379",0.01,MBIC,3,"124, 249, 379",0.014,MDL,3,"126, 249, 378",0.008,BS,1,122,2.008,WBS,3,"122, 247, 376",0.016
-0.009842531,BIC,3,"125, 248, 379",0.014,MBIC,3,"125, 248, 379",0.014,MDL,3,"125, 248, 380",0.016,BS,1,378,2.004,WBS,3,"246, 377, 121",0.022
0.041079739,BIC,3,"137, 244, 378",0.04,MBIC,3,"137, 244, 376",0.036,MDL,3,"137, 244, 376",0.036,BS,1,125,2.002,WBS,3,"135, 242, 374",0.04
-0.108244388,BIC,3,"125, 251, 375",0.004,MBIC,3,"125, 252, 375",0.006,MDL,3,"125, 251, 375",0.004,BS,3,"123, 259, 374",0.026,WBS,3,"249, 373, 123",0.016
0.061573932,BIC,3,"133, 250, 377",0.018,MBIC,3,"133, 251, 376",0.014,MDL,3,"136, 251, 377",0.022,BS,3,"374, 248, 124",0.014,WBS,3,"374, 131, 248",0.02
-0.059442485,BIC,3,"125, 251, 365",0.024,MBIC,3,"124, 251, 365",0.026,MDL,3,"124, 251, 365",0.026,BS,1,374,2.004,WBS,4,"363, 122, 249, 395",1.038
-0.025086933,BIC,3,"126, 251, 377",0.002,MBIC,3,"126, 251, 377",0.002,MDL,3,"126, 251, 376",0,BS,3,"374, 268, 124",0.042,WBS,3,"374, 249, 124",0.012
0.069573896,BIC,3,"124, 255, 375",0.014,MBIC,3,"126, 255, 376",0.008,MDL,3,"126, 255, 376",0.008,BS,1,124,2.004,WBS,3,"124, 373, 253",0.014
0.111657654,BIC,3,"123, 260, 374",0.028,MBIC,3,"122, 260, 374",0.03,MDL,3,"123, 260, 374",0.028,BS,1,391,2.03,WBS,3,"372, 120, 258",0.034
0.024153899,BIC,3,"140, 253, 375",0.034,MBIC,3,"140, 253, 375",0.034,MDL,3,"140, 251, 375",0.03,BS,1,373,2.006,WBS,3,"373, 138, 249",0.034
-0.019015847,BIC,5,"98, 110, 126, 249, 376",2.004,MBIC,3,"126, 249, 374",0.008,MDL,5,"98, 110, 126, 249, 374",2.008,BS,3,"372, 124, 239",0.036,WBS,4,"124, 247, 372, 96",1.02
0.043326749,BIC,3,"123, 244, 381",0.03,MBIC,3,"125, 244, 376",0.016,MDL,3,"126, 244, 381",0.024,BS,3,"379, 123, 278",0.066,WBS,3,"374, 242, 123",0.028
0.022945186,BIC,3,"125, 249, 376",0.006,MBIC,3,"125, 249, 376",0.006,MDL,3,"125, 249, 376",0.006,BS,3,"374, 115, 247",0.034,WBS,3,"247, 123, 374",0.018
0.082627697,BIC,3,"131, 246, 378",0.024,MBIC,3,"131, 252, 377",0.014,MDL,3,"131, 252, 377",0.014,BS,1,375,2.002,WBS,3,"375, 250, 129",0.01
-0.000370929,BIC,3,"136, 250, 377",0.024,MBIC,3,"136, 253, 376",0.024,MDL,3,"136, 253, 376",0.024,BS,3,"134, 374, 251",0.02,WBS,3,"374, 251, 134",0.02
0.032006178,BIC,4,"126, 251, 375, 468",1.002,MBIC,3,"127, 251, 375",0.004,MDL,3,"127, 247, 375",0.012,BS,3,"125, 373, 245",0.02,WBS,3,"125, 249, 373",0.012
0.023297194,BIC,3,"124, 251, 376",0.004,MBIC,3,"124, 248, 373",0.016,MDL,3,"124, 251, 376",0.004,BS,3,"122, 379, 252",0.016,WBS,3,"249, 374, 122",0.016
0.144037472,BIC,3,"128, 251, 376",0.004,MBIC,3,"128, 251, 376",0.004,MDL,3,"127, 253, 374",0.01,BS,3,"125, 374, 249",0.01,WBS,3,"374, 249, 125",0.01
0.059637406,BIC,3,"123, 250, 378",0.012,MBIC,3,"123, 251, 378",0.01,MDL,3,"123, 250, 378",0.012,BS,1,97,2.058,WBS,3,"121, 376, 246",0.02
-0.041110436,BIC,3,"126, 252, 371",0.012,MBIC,3,"127, 254, 371",0.018,MDL,3,"126, 254, 371",0.016,BS,3,"369, 250, 124",0.02,WBS,3,"250, 124, 369",0.02
-0.060998531,BIC,3,"123, 250, 389",0.034,MBIC,3,"123, 255, 393",0.048,MDL,3,"123, 250, 393",0.042,BS,3,"253, 391, 121",0.044,WBS,3,"253, 121, 391",0.044
0.029133287,BIC,3,"127, 252, 374",0.008,MBIC,3,"126, 256, 373",0.016,MDL,3,"126, 256, 373",0.016,BS,0,NA,3,WBS,3,"254, 371, 124",0.02
-0.165126889,BIC,3,"133, 248, 375",0.022,MBIC,3,"133, 250, 375",0.018,MDL,3,"133, 248, 375",0.022,BS,3,"376, 248, 123",0.012,WBS,3,"373, 248, 131",0.022
-0.045313,BIC,3,"126, 251, 374",0.004,MBIC,3,"127, 252, 374",0.008,MDL,5,"24, 31, 127, 252, 378",2.008,BS,1,124,2.004,WBS,3,"125, 250, 372",0.012
-0.074452645,BIC,3,"150, 251, 377",0.05,MBIC,3,"150, 249, 376",0.052,MDL,4,"122, 123, 250, 376",1.008,BS,1,374,2.004,WBS,3,"374, 249, 149",0.054
-0.094565849,BIC,3,"128, 241, 380",0.032,MBIC,3,"126, 241, 380",0.028,MDL,3,"128, 239, 380",0.036,BS,3,"378, 126, 239",0.028,WBS,3,"378, 239, 126",0.028
-0.003351407,BIC,3,"126, 255, 373",0.014,MBIC,3,"126, 255, 376",0.008,MDL,3,"129, 255, 376",0.014,BS,3,"374, 253, 124",0.012,WBS,3,"370, 124, 253",0.02
0.00025664,BIC,3,"123, 251, 376",0.006,MBIC,3,"123, 251, 376",0.006,MDL,3,"123, 251, 376",0.006,BS,3,"249, 121, 374",0.018,WBS,4,"121, 249, 374, 496",1.018
-0.018662939,BIC,3,"122, 254, 375",0.016,MBIC,3,"122, 254, 375",0.016,MDL,3,"122, 254, 375",0.016,BS,3,"120, 373, 296",0.108,WBS,3,"373, 252, 120",0.02
-0.002910879,BIC,3,"126, 254, 376",0.006,MBIC,3,"126, 255, 374",0.012,MDL,3,"126, 252, 374",0.006,BS,3,"124, 385, 257",0.034,WBS,3,"372, 252, 124",0.014
-0.072008177,BIC,3,"126, 251, 377",0.002,MBIC,3,"127, 251, 377",0.004,MDL,3,"126, 251, 377",0.002,BS,3,"377, 249, 124",0.01,WBS,3,"375, 124, 249",0.01
0.077663935,BIC,3,"125, 251, 375",0.004,MBIC,3,"125, 251, 375",0.004,MDL,3,"125, 251, 375",0.004,BS,1,122,2.008,WBS,3,"122, 373, 249",0.018
0.070981331,BIC,3,"130, 253, 376",0.012,MBIC,3,"134, 250, 375",0.02,MDL,3,"134, 250, 376",0.018,BS,1,77,2.098,WBS,3,"249, 132, 373",0.022
-0.015276122,BIC,3,"122, 251, 374",0.012,MBIC,3,"123, 251, 373",0.012,MDL,3,"123, 251, 373",0.012,BS,3,"249, 374, 121",0.018,WBS,3,"121, 371, 249",0.024
0.037431267,BIC,3,"125, 253, 375",0.008,MBIC,3,"123, 253, 377",0.012,MDL,3,"129, 252, 375",0.01,BS,3,"123, 251, 373",0.012,WBS,3,"123, 373, 251",0.012
0.037121327,BIC,3,"125, 249, 366",0.026,MBIC,3,"125, 249, 358",0.042,MDL,3,"125, 243, 366",0.038,BS,3,"364, 118, 218",0.106,WBS,3,"247, 123, 364",0.038
-0.074951463,BIC,3,"126, 246, 375",0.012,MBIC,3,"124, 263, 376",0.028,MDL,3,"128, 246, 377",0.016,BS,3,"121, 261, 375",0.032,WBS,3,"375, 124, 244",0.02
0.165431928,BIC,3,"128, 247, 376",0.012,MBIC,5,"129, 207, 209, 247, 376",2.014,MDL,3,"128, 247, 376",0.012,BS,3,"126, 374, 247",0.012,WBS,3,"373, 245, 126",0.018
-0.084693569,BIC,3,"126, 259, 374",0.02,MBIC,3,"126, 258, 375",0.016,MDL,3,"126, 259, 375",0.018,BS,3,"257, 124, 375",0.018,WBS,3,"373, 124, 257",0.022
-0.006072351,BIC,3,"135, 248, 378",0.028,MBIC,3,"135, 250, 376",0.02,MDL,3,"135, 246, 376",0.028,BS,1,374,2.004,WBS,3,"374, 244, 133",0.032
0.048840309,BIC,3,"126, 253, 376",0.004,MBIC,3,"126, 252, 376",0.002,MDL,3,"125, 253, 376",0.006,BS,3,"123, 251, 374",0.01,WBS,4,"124, 374, 252, 314",1.01
0.003112278,BIC,3,"127, 252, 377",0.006,MBIC,3,"127, 253, 377",0.008,MDL,3,"125, 252, 377",0.006,BS,3,"123, 375, 249",0.012,WBS,3,"123, 251, 375",0.008
