phi.hat,X,mBIC,t.BIC,dBIC,X.1,mMBIC,t.MBIC,dMBIC,X.2,mMDL,t.MDL,dMDL,X.3,mBS,t.BS,dBS,X.4,mWBS,t.WBS,dWBS
-0.048466184,BIC,3,"141, 250, 380",0.04,MBIC,3,"141, 250, 380",0.04,MDL,3,"143, 250, 382",0.048,BS,3,"378, 248, 117",0.028,WBS,3,"378, 141, 248",0.04
-0.01238084,BIC,3,"147, 252, 374",0.048,MBIC,3,"152, 252, 377",0.056,MDL,3,"147, 252, 377",0.046,BS,3,"375, 145, 253",0.044,WBS,3,"372, 250, 145",0.048
0.010216387,BIC,3,"124, 251, 368",0.02,MBIC,3,"125, 251, 376",0.002,MDL,3,"125, 250, 376",0.004,BS,3,"374, 107, 248",0.048,WBS,3,"249, 123, 374",0.014
-0.003198888,BIC,3,"127, 251, 385",0.02,MBIC,3,"127, 252, 385",0.022,MDL,3,"127, 251, 385",0.02,BS,3,"125, 383, 249",0.02,WBS,3,"125, 249, 383",0.02
0.055984044,BIC,3,"133, 255, 381",0.032,MBIC,3,"160, 255, 385",0.094,MDL,5,"4, 5, 133, 255, 384",2.038,BS,3,"383, 129, 253",0.024,WBS,3,"383, 253, 158",0.082
0.015372463,BIC,3,"127, 252, 377",0.006,MBIC,3,"127, 252, 378",0.008,MDL,5,"19, 20, 127, 252, 376",2.004,BS,3,"125, 375, 250",0.006,WBS,3,"250, 374, 125",0.008
-0.00093145,BIC,3,"117, 251, 374",0.022,MBIC,3,"117, 253, 376",0.022,MDL,3,"117, 251, 374",0.022,BS,3,"373, 115, 217",0.096,WBS,3,"251, 373, 124",0.01
-0.008446625,BIC,3,"123, 251, 369",0.02,MBIC,3,"123, 253, 369",0.024,MDL,3,"123, 252, 369",0.022,BS,3,"121, 249, 374",0.018,WBS,3,"249, 367, 121",0.032
0.039292065,BIC,3,"130, 248, 377",0.016,MBIC,3,"130, 248, 382",0.026,MDL,3,"130, 248, 382",0.026,BS,3,"246, 127, 380",0.02,WBS,3,"246, 380, 127",0.02
0.019499917,BIC,3,"125, 252, 377",0.006,MBIC,3,"126, 250, 377",0.004,MDL,3,"126, 250, 375",0.004,BS,3,"375, 124, 248",0.012,WBS,3,"124, 248, 375",0.012
0.017494191,BIC,3,"126, 245, 375",0.014,MBIC,3,"126, 245, 376",0.012,MDL,3,"125, 245, 376",0.014,BS,1,374,2.004,WBS,3,"374, 120, 243",0.032
0.005770301,BIC,3,"128, 251, 377",0.006,MBIC,3,"127, 251, 377",0.004,MDL,3,"128, 250, 377",0.008,BS,3,"375, 238, 126",0.028,WBS,3,"249, 126, 375",0.006
0.113190024,BIC,3,"117, 250, 364",0.044,MBIC,3,"114, 250, 364",0.05,MDL,6,"6, 7, 10, 117, 250, 364",3.044,BS,3,"376, 115, 248",0.028,WBS,3,"362, 248, 115",0.056
0.033950516,BIC,3,"108, 247, 376",0.044,MBIC,3,"108, 251, 377",0.038,MDL,3,"108, 251, 376",0.036,BS,3,"376, 249, 106",0.044,WBS,3,"374, 249, 106",0.048
-0.025013796,BIC,3,"127, 257, 376",0.014,MBIC,3,"127, 257, 375",0.016,MDL,3,"128, 257, 376",0.016,BS,3,"255, 374, 125",0.014,WBS,3,"374, 125, 255",0.014
-0.074536693,BIC,3,"124, 251, 376",0.004,MBIC,3,"126, 251, 376",0,MDL,3,"124, 251, 376",0.004,BS,3,"122, 393, 249",0.046,WBS,3,"249, 374, 122",0.016
-0.043052271,BIC,3,"138, 247, 393",0.066,MBIC,3,"135, 247, 393",0.06,MDL,5,"11, 12, 135, 245, 393",2.064,BS,1,133,2.014,WBS,3,"133, 245, 391",0.056
0.053857398,BIC,3,"126, 238, 376",0.026,MBIC,3,"126, 241, 376",0.02,MDL,3,"126, 238, 376",0.026,BS,3,"374, 124, 239",0.032,WBS,3,"374, 236, 124",0.038
-0.055561497,BIC,3,"129, 251, 371",0.016,MBIC,3,"129, 251, 371",0.016,MDL,3,"128, 251, 371",0.014,BS,3,"369, 127, 240",0.038,WBS,3,"127, 249, 369",0.02
0.006238156,BIC,3,"122, 254, 380",0.022,MBIC,3,"122, 254, 380",0.022,MDL,3,"124, 256, 380",0.022,BS,3,"252, 378, 120",0.018,WBS,3,"120, 378, 252",0.018
0.00911234,BIC,3,"126, 248, 377",0.008,MBIC,3,"126, 248, 376",0.006,MDL,3,"126, 248, 378",0.01,BS,3,"124, 375, 246",0.016,WBS,3,"375, 246, 124",0.016
-0.005381019,BIC,3,"126, 253, 375",0.006,MBIC,3,"126, 254, 374",0.01,MDL,3,"126, 253, 374",0.008,BS,3,"124, 373, 251",0.01,WBS,3,"373, 251, 124",0.01
-0.056295508,BIC,5,"124, 259, 297, 321, 377",2.022,MBIC,3,"124, 244, 377",0.02,MDL,3,"124, 244, 375",0.02,BS,3,"373, 242, 95",0.086,WBS,5,"373, 122, 242, 320, 295",2.032
-0.106361008,BIC,3,"126, 246, 376",0.01,MBIC,3,"127, 246, 377",0.014,MDL,3,"125, 246, 376",0.012,BS,3,"124, 374, 251",0.008,WBS,3,"374, 244, 124",0.022
0.083414128,BIC,3,"126, 245, 374",0.016,MBIC,4,"126, 245, 308, 336",1.092,MDL,7,"44, 45, 126, 242, 245, 308, 336",4.092,BS,1,124,2.004,WBS,3,"124, 243, 334",0.104
0.057866863,BIC,3,"120, 240, 378",0.038,MBIC,3,"122, 240, 378",0.034,MDL,5,"40, 41, 123, 240, 376",2.028,BS,3,"374, 119, 208",0.104,WBS,3,"119, 374, 238",0.044
-0.020921518,BIC,4,"126, 253, 376, 412",1.004,MBIC,3,"125, 253, 376",0.006,MDL,3,"126, 253, 376",0.004,BS,1,374,2.004,WBS,4,"374, 251, 124, 402",1.008
-0.076377893,BIC,3,"126, 255, 374",0.012,MBIC,3,"126, 255, 374",0.012,MDL,3,"125, 255, 372",0.018,BS,3,"372, 253, 123",0.018,WBS,3,"372, 124, 253",0.016
-0.01506303,BIC,3,"116, 250, 366",0.042,MBIC,3,"110, 251, 366",0.052,MDL,3,"116, 250, 366",0.042,BS,1,109,2.034,WBS,3,"114, 372, 248",0.038
-0.007774279,BIC,3,"127, 238, 385",0.046,MBIC,3,"128, 238, 385",0.048,MDL,3,"127, 238, 385",0.046,BS,3,"236, 115, 383",0.066,WBS,3,"125, 236, 383",0.046
0.033492112,BIC,3,"129, 251, 375",0.008,MBIC,3,"128, 251, 375",0.006,MDL,3,"128, 251, 375",0.006,BS,3,"249, 126, 373",0.01,WBS,3,"249, 373, 126",0.01
0.114465102,BIC,3,"125, 244, 372",0.024,MBIC,3,"125, 244, 376",0.016,MDL,3,"125, 244, 376",0.016,BS,1,374,2.004,WBS,3,"374, 123, 242",0.028
0.206986772,BIC,3,"121, 254, 379",0.022,MBIC,3,"121, 254, 377",0.018,MDL,3,"121, 254, 378",0.02,BS,1,432,2.112,WBS,3,"375, 252, 119",0.018
0.036229013,BIC,4,"126, 251, 362, 378",1.004,MBIC,3,"126, 252, 379",0.008,MDL,3,"126, 251, 379",0.006,BS,3,"377, 124, 250",0.008,WBS,3,"124, 250, 377",0.008
